gene	geneName	baseMean	log2FC	stderror	padj
CNAG_04915	NA	3.32	-4.739	3.509	NA
CNAG_04916	FZC16	3.317	5.667	3.982	NA
CNAG_04919	NA	223.341	-1.066	0.522	0.1756
CNAG_04920	NA	332.973	0.025	0.398	0.983
CNAG_04921	NA	157.276	1.367	0.493	0.04282
CNAG_04925	NA	319.373	-0.384	0.441	0.6605
CNAG_04926	NA	19.196	0.879	1.321	0.7519
CNAG_04927	YFH701	2.521	2.831	3.981	NA
CNAG_04931	HXS2	0	NA	NA	NA
CNAG_04932	NA	160.162	0.453	0.494	0.6389
CNAG_04934	NA	130.15	2.231	0.604	0.003658
CNAG_04935	NA	193.236	-0.78	0.453	0.2804
CNAG_04936	NA	224.569	-0.236	0.457	0.8194
CNAG_04937	NA	50.472	-0.34	0.886	0.8703
CNAG_04938	NA	81.443	3.892	0.892	3.556e-4
CNAG_04939	CDC14	197.714	-0.303	0.494	0.7782
CNAG_04943	NA	459.378	1.224	0.335	0.004105
CNAG_04944	NA	210.246	1.042	0.587	0.2611
CNAG_04945	NA	44.719	0.478	0.889	0.8114
CNAG_04946	NA	21.492	0.17	1.318	0.9592
CNAG_04947	NA	4.14	1.61	3.261	NA
CNAG_04948	TUB2	295.377	-0.207	0.381	0.809
CNAG_04949	NA	454.507	-0.903	0.333	0.05013
CNAG_04950	NA	343.451	0.462	0.388	0.5114
CNAG_04951	NA	840.253	-0.263	0.289	0.6421
CNAG_04952	NA	475.641	-0.325	0.342	0.6246
CNAG_04953	NA	980.967	1.996	0.306	1.01e-8
CNAG_04954	NA	805.734	1.156	0.304	0.002597
CNAG_04955	NA	54.604	2.363	0.814	0.03192
CNAG_04956	NA	27.793	1.305	1.121	0.5246
CNAG_04957	NA	195.087	0.257	0.487	0.8157
CNAG_04958	NA	124.618	2.645	0.607	3.6e-4
CNAG_04959	NA	34.196	-0.537	1.016	0.8155
CNAG_04960	NA	100.926	0.483	0.625	0.7015
CNAG_04961	URA3	116.411	0.309	0.574	0.8114
CNAG_04962	NA	920.931	-0.043	0.312	0.9572
CNAG_04963	NA	11589.717	-1.622	0.299	3.286e-6
CNAG_04967	NA	26.892	-0.404	1.205	0.8883
CNAG_04968	NA	187.699	-0.556	0.486	0.5355
